Row Id,LBNL ID,MURR ID,Alternate ID,Site,Latitude,Longitude,Context,Excavator,Source Person,Affiliation,Material,Ware,Fabric,Exterior Decoration,Form,Specific Form,Piece,Group,Era,Temper,Notes,Analytical Notes,Powder Present in Archives,Data Source,Run,Entry,Al,Ca,V,Dy,Mn,Na,K,Sr,As,U,Eu,Ba,Sm,La,Ti,Lu,Nd,Co,Sc,Fe,Ce,Yb,Cs,Ta,Sb,Cr,Th,Ni,Rb,Tb,Hf,Zn,Column #59,Column #60,Column #61,Column #62,Column #63,Column #64,Column #65,Column #66,Column #67,Column #68,Column #69,Column #70,Column #71,Column #72,Column #73,Column #74,Column #75,Column #76
11,AEVI-11,AEVI0011,,Ayios Epiktitos-Vrysi,35.321,33.39,,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,,,Chevron decoration,,,,,Neolithic,,,,Y,Direct transcription,739,E,39200,206000,63,2.31,494,5030,10600,851,10.4,1.84,0.659,369.0,2.632,16.9,2290,0.213,14.7,16.01,11.57,29500,32.8,1.306,3.9,0.427,0.6,218.5,6.02,212.0,69.0,0.39,1.84,80.0,,,,,,,,,,,,,,,,,,
12,AEVI-12,AEVI0012,AEV71.H4B.3,Ayios Epiktitos-Vrysi,35.321,33.39,,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,,,Reipple pattern,,,,,Neolithic,,,,Y,Direct transcription,739,F,36700,215100,60,2.34,388,4420,9400,708,4.3,1.53,0.54,429.0,2.585,15.64,2030,0.195,14.7,13.8,10.74,26900,30.5,1.28,2.8,0.414,0.7,255.5,5.82,177.0,52.0,0.441,1.86,67.0,,,,,,,,,,,,,,,,,,
13,AEVI-13,AEVI0013,AEV71.H4B.5,Ayios Epiktitos-Vrysi,35.321,33.39,,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,,,Concentric cicle pattern,,,,,Neolithic,,,,Y,Direct transcription,739,G,31500,215100,63,2.2,521,4980,11500,640,14.2,1.34,0.617,417.0,2.423,15.41,2100,0.215,11.6,15.2,9.97,26800,28.7,1.266,3.2,0.396,0.5,193.5,5.03,182.0,44.0,0.474,1.86,73.0,,,,,,,,,,,,,,,,,,
14,AEVI-14,AEVI0014,"RDAC 72, pl. III.1",Ayios Epiktitos-Vrysi,35.321,33.39,,"Cyprus Museum, Nicosia","Artzy, M.",Lawrence Berkeley National Laboratory,Pottery,,,Decorated,,,,,Neolithic,,,,Y,Direct transcription,739,H,27300,211800,82,2.31,452,6010,7400,249,9.6,1.29,0.63,526.0,2.444,13.91,2000,0.205,13.3,19.45,9.14,23300,27.9,1.341,2.4,0.345,0.5,193.3,4.71,141.0,34.0,0.393,1.66,50.0,,,,,,,,,,,,,,,,,,
15,AKH-1,AKH0001,T-3:1,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Red brown,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,E,98500,21300,449,5.69,1173,17810,7200,327,11.1,0.88,1.067,108.0,3.339,11.28,6070,0.454,12.5,37.53,45.05,92400,22.7,2.5,1.4,0.417,0.5,68.8,3.08,42.0,42.0,0.627,2.89,148.0,,,,,,,,,,,,,,,,,,
16,AKH-2,AKH0002,T-3:2,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Red,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,F,113700,38900,301,3.42,919,5360,6800,174,,0.56,0.716,175.0,2.138,7.37,3680,0.281,7.8,44.07,54.09,77800,12.5,1.05,1.5,0.268,0.3,386.7,2.24,70.0,28.0,0.329,1.39,52.0,,,,,,,,,,,,,,,,,,
17,AKH-3,AKH0003,T-3:3,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Red,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,G,82500,23500,307,3.93,634,20080,6100,273,,0.45,0.819,168.0,2.283,7.27,5410,0.365,8.2,28.17,38.12,72900,15.5,1.8,1.0,0.363,0.2,56.6,2.02,6.0,26.0,0.452,2.36,140.0,,,,,,,,,,,,,,,,,,
18,AKH-4,AKH0004,T-3:4,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,red,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,H,75300,68200,283,5.39,975,19370,8100,318,,1.22,1.123,169.0,3.591,15.73,5950,0.401,12.4,27.0,29.24,68500,32.5,2.28,1.8,0.515,0.4,113.3,4.06,74.0,49.0,0.607,3.71,99.0,,,,,,,,,,,,,,,,,,
19,AKH-5,AKH0005,T-3:5,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Red brown,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,J,89700,36700,295,3.38,923,9850,8000,364,15.8,0.67,0.594,153.0,1.892,8.25,3960,0.275,7.0,42.09,42.44,68700,11.6,1.23,1.1,0.334,0.2,489.7,2.08,134.0,27.0,0.393,1.13,55.0,,,,,,,,,,,,,,,,,,
20,AKH-6,AKH0006,T-3:6,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Grey Brown,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,K,96900,15700,338,4.88,1015,13230,8700,395,,0.97,0.945,167.0,3.067,11.28,5390,0.393,11.9,33.55,42.64,83700,21.4,2.16,1.2,0.444,0.5,105.7,2.89,64.0,34.0,0.577,2.71,148.0,,,,,,,,,,,,,,,,,,
21,AKH-7,AKH0007,T-3:7,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Red,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,M,111400,34700,306,3.98,995,5300,5900,206,22.8,0.56,0.748,152.0,2.133,7.01,3860,0.287,8.6,46.56,54.94,77900,13.7,1.17,0.8,0.279,0.2,404.1,2.28,83.0,16.0,0.325,1.39,59.0,,,,,,,,,,,,,,,,,,
22,AKH-8,AKH0008,T-3:8,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Red,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,N,92300,39300,306,4.04,992,8070,4500,376,14.1,0.85,0.651,160.0,2.14,8.12,3700,0.303,8.6,44.26,41.8,70900,17.6,1.53,1.6,0.389,0.1,214.5,2.39,100.0,21.0,0.386,1.9,50.0,,,,,,,,,,,,,,,,,,
23,AKH-9,AKH0009,T-3:9,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Red,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,O,87400,17800,300,5.13,660,23710,6200,1130,,0.75,1.024,153.0,3.044,10.69,5870,0.392,12.1,28.4,44.69,87200,18.0,2.25,1.3,0.41,0.3,79.7,2.76,4.0,38.0,0.59,2.11,132.0,,,,,,,,,,,,,,,,,,
24,AKH-10,AKH0010,T-3:10,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Red and Grey,,,,,34,1400-1200 B.C.,Medium grit,Same as T3.12 [AKH-12],,Y,Direct transcription,313,P,86600,31700,216,3.5,708,11130,7500,227,,1.7,0.581,190.0,1.969,7.44,3420,0.314,7.2,34.52,41.35,62800,14.3,1.38,1.2,0.332,0.2,450.5,2.16,152.0,10.0,0.417,2.28,59.0,,,,,,,,,,,,,,,,,,
25,AKH-11,AKH0011,T-3:11,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Grey and brown,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,Q,92000,35100,301,5.03,736,14610,3100,145,,0.63,0.901,90.0,2.735,7.42,4500,0.427,9.1,36.39,37.42,72000,14.1,2.2,0.8,0.349,0.1,488.4,2.19,88.0,30.0,0.585,1.84,40.0,,,,,,,,,,,,,,,,,,
26,AKH-12,AKH0012,T-3:12,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Red and Grey,,,,,34,1400-1200 B.C.,Medium grit,Same as T3.10 [AKH-10],,Y,Direct transcription,313,R,85600,28300,165,3.47,697,11020,6300,524,,1.83,0.643,186.0,1.894,6.7,3030,0.293,8.0,37.83,39.74,60700,13.7,1.51,0.8,0.356,0.1,372.4,2.07,119.0,21.0,0.386,1.83,47.0,,,,,,,,,,,,,,,,,,
27,AKH-13,AKH0013,T-3:13,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Grey,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,S,102200,33400,281,3.48,875,10830,9100,508,,0.69,0.583,161.0,1.707,5.89,3340,0.233,5.5,36.37,39.92,69700,12.6,1.05,0.9,0.299,0.4,163.1,1.96,76.0,41.0,0.262,1.34,71.0,,,,,,,,,,,,,,,,,,
28,AKH-14,AKH0014,T-3:14,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Grey,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,T,99500,33800,253,4.22,777,12920,6100,271,14.4,0.65,0.816,145.0,2.339,7.58,3860,0.377,10.5,33.11,39.59,72600,17.5,1.58,1.2,0.399,0.2,147.8,2.38,64.0,31.0,0.436,2.39,61.0,,,,,,,,,,,,,,,,,,
29,AKH-15,AKH0015,T-3:15,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Brown,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,U,90900,35100,315,3.37,939,9280,6500,519,5.4,0.53,0.594,153.0,1.873,7.78,3700,0.277,7.9,45.09,43.53,70200,14.7,1.27,1.5,0.332,0.7,540.1,2.25,173.0,14.0,0.271,1.63,49.0,,,,,,,,,,,,,,,,,,
30,AKH-16,AKH0016,T-3:16,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Black,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,V,87400,15600,296,6.45,1180,16100,15900,400,3.8,0.74,1.257,143.0,3.964,16.51,6400,0.448,16.1,32.45,38.11,86600,30.8,2.64,2.1,0.568,0.3,120.4,4.35,50.0,59.0,0.676,3.38,115.0,,,,,,,,,,,,,,,,,,
31,AKH-17,AKH0017,T-3:17,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Brown,,,,,34,1400-1200 B.C.,Fine grit,,,Y,Direct transcription,313,W,87700,37800,228,3.57,908,9890,7500,633,1.4,0.6,0.65,168.0,1.856,6.88,4780,0.268,8.7,43.16,42.68,68900,13.1,1.27,0.9,0.325,2.0,527.5,2.14,187.0,42.0,0.312,1.7,58.0,,,,,,,,,,,,,,,,,,
32,AKH-18,AKH0018,T-3:18,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Red,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,X,88500,34400,270,3.22,943,9250,7000,449,7.9,1.46,0.568,144.0,1.77,6.37,3800,0.258,7.0,45.03,43.89,72000,13.4,1.16,1.4,0.43,0.3,571.2,2.31,164.0,9.0,0.373,2.02,68.0,,,,,,,,,,,,,,,,,,
33,AKH-19,AKH0019,T-3:19,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Grey,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,Y,80600,26200,258,4.82,1500,27930,8100,1001,,1.82,0.686,336.0,1.95,5.85,4010,0.334,5.8,43.17,39.34,78800,10.9,1.74,1.2,0.305,0.3,452.5,1.74,180.0,22.0,0.395,1.84,202.0,,,,,,,,,,,,,,,,,,
34,AKH-20,AKH0020,T-3:20,Akhera,35.084,33.121,Looted Tomb 3,,"Karageorghis, V.",Department of Antiquities-Nicosia,Pottery,White Slip I-II,Grey,,,,,34,1400-1200 B.C.,Medium grit,,,Y,Direct transcription,313,Z,122900,23400,247,3.34,787,3780,5900,473,9.2,0.52,0.643,123.0,1.694,4.61,3380,0.256,6.7,36.12,43.87,71800,11.3,1.26,1.4,0.26,0.1,76.7,1.67,86.0,9.0,0.363,0.87,55.0,,,,,,,,,,,,,,,,,,
35,ALAM-1,ALAM0001,AS.131,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,"White Painted III ""Composite Ware""",,,Bowl,Small bowl,,,,,,,Y,Direct transcription,958,E,47700,145200,123,3.15,671,9690,14400,642,8.4,2.016,0.858,1580.0,3.016,16.25,3200,0.258,13.9,18.07,15.01,35900,23.4,1.27,2.62,0.467,0.45,282.1,4.49,133.0,44.0,0.473,2.27,89.0,,,,,,,,,,,,,,,,,,
36,ALAM-2,ALAM0002,AS.124,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,White Painted III,,,Jar,Small jar,,,,,,,Y,Direct transcription,958,F,66300,105600,191,3.78,833,11170,15200,517,7.1,3.479,1.029,2247.0,3.93,22.31,4290,0.306,21.0,25.02,21.37,52200,29.2,1.39,5.05,0.673,0.82,289.0,7.0,183.0,59.0,0.549,3.09,135.0,,,,,,,,,,,,,,,,,,
37,ALAM-4,ALAM0004,AS.143,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,White Painted III,,,Jar,Jug,,,,,,,Y,Direct transcription,958,G,68700,119800,178,4.02,799,11600,19000,445,7.3,4.102,1.078,972.0,4.088,22.6,4060,0.32,20.9,26.83,21.86,53000,39.4,1.84,5.54,0.678,0.77,337.4,7.15,251.0,68.0,0.621,2.77,89.0,,,,,,,,,,,,,,,,,,
38,ALAM-5,ALAM0005,AS.171,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,White Painted III,,,Jar,Jug,,,,,,,Y,Direct transcription,958,H,64100,125700,245,4.05,819,9800,18300,635,6.7,3.42,1.03,1269.0,3.937,21.26,3940,0.354,22.1,22.92,20.06,48300,34.0,1.74,4.91,0.63,0.81,306.7,6.49,233.0,54.0,0.625,3.07,99.0,,,,,,,,,,,,,,,,,,
39,ALAM-6,ALAM0006,AS.149,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,White Painted III,,,Jar,Jar or Jug,,,,,,,Y,Direct transcription,958,J,61100,113900,141,3.85,915,9900,15800,511,5.6,1.65,0.996,920.0,3.636,18.44,4350,0.326,17.8,25.58,20.6,48100,31.7,1.73,2.89,0.573,0.34,293.4,5.62,162.0,48.0,0.535,2.78,90.0,,,,,,,,,,,,,,,,,,
40,ALAM-7,ALAM0007,AS.144,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,"White Painted III ""Composite Ware""",,,Bowl,Large bowl,,,,,,,Y,Direct transcription,958,K,53300,128200,181,3.27,825,12330,12600,412,9.3,1.852,0.854,1881.0,2.955,14.24,3540,0.281,14.7,23.27,18.32,42000,18.7,1.18,2.11,0.381,0.3,289.3,3.84,150.0,29.0,0.454,2.05,79.0,,,,,,,,,,,,,,,,,,
41,ALAM-8,ALAM0008,AS.145,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,White Painted III,,,Jar,Jar or Jug,,,,,,,Y,Direct transcription,958,M,58200,133900,179,3.87,890,10130,11600,418,5.7,1.684,0.953,946.0,3.557,17.96,4110,0.295,20.3,24.78,20.25,47600,30.8,1.8,4.0,0.564,0.38,301.2,5.35,193.0,59.0,0.599,2.73,91.0,,,,,,,,,,,,,,,,,,
42,ALAM-9,ALAM0009,AS.208,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,White Painted IV,,,Jar,Jug,,,,,,,Y,Direct transcription,958,N,66200,133100,155,4.32,985,10590,15600,435,4.3,3.584,1.116,1664.0,4.121,22.69,3820,0.312,21.3,23.64,19.82,47500,34.8,1.76,4.09,0.638,0.52,316.9,6.53,177.0,50.0,0.606,3.21,102.0,,,,,,,,,,,,,,,,,,
43,ALAM-10,ALAM0010,AS.191,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,White Painted IV,,,Bowl,Bowl with everted rim,,,,,,,Y,Direct transcription,958,O,69000,125800,186,4.14,855,10930,17300,460,9,4.267,1.115,1541.0,4.233,22.55,3950,0.296,21.4,23.32,21.5,52300,35.1,1.84,4.89,0.667,0.69,327.7,6.94,219.0,54.0,0.608,3.28,101.0,,,,,,,,,,,,,,,,,,
44,ALAM-11,ALAM0011,AS.195,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,White Painted III,,,Bowl,Bowl with everted rim,,,,,,,Y,Direct transcription,958,P,45200,145700,140,3.25,992,6910,11200,480,8.8,2.346,0.856,3062.0,3.27,17.68,3130,0.254,18.3,19.37,14.7,39000,22.4,1.08,3.5,0.525,0.51,257.0,5.4,158.0,41.0,0.497,2.44,76.0,,,,,,,,,,,,,,,,,,
45,ALAM-12,ALAM0012,AS.179,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,Red Polished IIIF,,,Bowl,Shallow bowl,,,,,,,Y,Direct transcription,958,Q,38800,172800,107,2.73,593,6090,10200,578,3,2.504,0.744,527.0,2.629,13.57,2610,0.193,13.7,13.95,12.87,31700,25.9,1.38,3.34,0.414,0.56,192.3,4.22,142.0,45.0,0.415,2.22,132.0,,,,,,,,,,,,,,,,,,
46,ALAM-13,ALAM0013,AS.207,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,Red Polished IIIF,,,Jar,Juglet,,,,,,,Y,Direct transcription,958,R,51300,121200,128,3.24,1108,11190,15600,523,6.2,2.915,0.962,4136.0,3.403,16.19,3500,0.223,16.1,21.56,15.3,40700,25.2,1.03,3.1,0.568,0.74,324.2,5.47,165.0,44.0,0.507,2.91,84.0,,,,,,,,,,,,,,,,,,
47,ALAM-14,ALAM0014,AS.198,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,Red Polished IIIC,,,Bowl,Large bowl,,,,,,,Y,Direct transcription,958,S,47800,133100,160,3.69,1252,9470,8200,700,3.5,0.722,0.955,2934.0,3.135,12.66,2730,0.278,11.3,28.75,23.86,46400,9.8,1.34,0.92,0.305,0.34,103.0,2.17,114.0,7.0,0.539,1.59,133.0,,,,,,,,,,,,,,,,,,
48,ALAM-15,ALAM0015,AS.192,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,Red Polished M,,,Bowl,Small bowl,,,,,,,Y,Direct transcription,958,T,69300,80200,234,4.2,1249,16590,15100,358,7,0.74,0.961,782.0,3.036,10.38,4810,0.343,10.9,27.83,28.22,63900,16.7,2.22,1.26,0.342,0.35,151.7,2.38,61.0,16.0,0.666,2.76,110.0,,,,,,,,,,,,,,,,,,
49,ALAM-16,ALAM0016,AS.203,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,Red Polished M,,,Bowl,Small bowl,,,,,,,Y,Direct transcription,958,U,78900,63700,237,3.82,1599,10720,11100,376,6.5,0.556,0.842,1059.0,2.398,6.8,4960,0.357,7.8,38.88,38.3,77400,4.9,1.95,1.24,0.317,0.25,80.4,1.87,49.0,12.0,0.564,1.48,149.0,,,,,,,,,,,,,,,,,,
50,ALAM-17,ALAM0017,AS.199,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,Red Polished M,,,Bowl,Large bowl,,,,,,,Y,Direct transcription,958,V,48100,165800,116,3.02,801,10710,8400,794,7.5,1.831,0.805,1301.0,2.772,13.86,2990,0.245,13.1,18.99,16.6,37900,22.0,1.39,2.44,0.43,0.41,310.4,4.08,131.0,31.0,0.475,2.28,76.0,,,,,,,,,,,,,,,,,,
51,ALAM-18,ALAM0018,AS.111,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,Red Polished IIIF,,,Bowl,Small bowl,,,,,,,Y,Direct transcription,958,W,38400,199100,95,2.72,748,3610,11800,1207,6.7,2.125,0.799,3656.0,3.025,17.05,2500,0.233,11.7,19.34,12.17,30500,23.5,0.84,3.82,0.516,0.95,177.6,5.7,158.0,41.0,0.459,1.75,82.0,,,,,,,,,,,,,,,,,,
52,ALAM-19,ALAM0019,AS.112,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,Red Polished IIIF,,,Bowl,Small bowl,,,,,,,Y,Direct transcription,958,X,36400,154300,86,5.87,1623,3810,12800,729,1.9,1.141,1.533,5506.0,5.826,26.47,1960,0.407,22.1,37.75,15.64,30500,30.7,1.96,1.7,0.497,0.23,198.6,4.15,227.0,17.0,0.927,1.14,104.0,,,,,,,,,,,,,,,,,,
53,ALAM-20,ALAM0020,AS.105,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,Red Polished IIIF (BP Interior),,,Other,Ring base or lid,,,,,,,Y,Direct transcription,958,Y,35200,203900,128,2.7,693,5180,4900,741,7.9,1.787,0.749,1493.0,2.631,14.43,2020,0.212,14.4,13.28,11.96,27500,21.9,1.21,2.28,0.415,0.52,183.7,3.85,120.0,21.0,0.421,2.3,64.0,,,,,,,,,,,,,,,,,,
54,ALAM-21,ALAM0021,AS.118,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,Red Polished IIIF(BTB),,,Bowl,Small bowl,,,,,,,Y,Direct transcription,958,Z,39500,188100,99,3.04,529,4130,15400,959,6.4,2.136,0.822,129.0,3.1,17.36,2420,0.234,17.8,16.29,12.26,30700,34.8,1.6,4.04,0.493,0.87,175.7,5.82,147.0,38.0,0.461,2.01,99.0,,,,,,,,,,,,,,,,,,
55,ALAM-22,ALAM0022,AS.220,Alambra,34.989,33.399,,,"Artzy, M.",University of Haifa,Pottery,Red Polished IIIC,,,Jar,Amphora,,,,,,,Y,Direct transcription,959,E,28000,175400,75,3.93,1474,3540,2000,927,1.8,0.846,1.039,2669.0,3.958,19.95,1320,0.291,15.4,21.19,11.49,22100,29.2,1.98,1.33,0.404,0.24,154.3,3.25,191.0,11.0,0.578,1.22,80.0,,,,,,,,,,,,,,,,,,
